RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_007899	GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0031012 [Name: extracellular matrix]	ILMN_1241090 [Chip: ]; ILMN_1229746 [Chip: ]; ILMN_2947526 [Chip: ]	Q61508	
NM_007900	GO:0005856 [Name: cytoskeleton]; GO:0030496 [Name: midbody]; GO:0032154 [Name: cleavage furrow]; GO:0005634 [Name: nucleus]; GO:0005923 [Name: bicellular tight junction]; GO:0072686 [Name: mitotic spindle]; GO:0097149 [Name: centralspindlin complex]; GO:0005911 [Name: cell-cell junction]; GO:0030054 [Name: cell junction]; GO:0005737 [Name: cytoplasm]	ILMN_2760144 [Chip: ]; ILMN_1239773 [Chip: ]	Q07139	
NM_007901	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0031226 [Name: intrinsic component of plasma membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0005768 [Name: endosome]; GO:0005829 [Name: cytosol]; GO:0016021 [Name: integral component of membrane]	ILMN_2747124 [Chip: ]	O08530	
NM_007902	GO:0005576 [Name: extracellular region]; GO:0005829 [Name: cytosol]; GO:0005615 [Name: extracellular space]; GO:0005622 [Name: intracellular]	ILMN_2723965 [Chip: ]	P22389	
NM_007903	GO:0005623 [Name: cell]; GO:0005622 [Name: intracellular]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2709083 [Chip: ]; ILMN_1258861 [Chip: ]	P48299	
NM_007904	GO:0005886 [Name: plasma membrane]; GO:0031965 [Name: nuclear membrane]; GO:0016020 [Name: membrane]; GO:0045121 [Name: membrane raft]; GO:0016021 [Name: integral component of membrane]; GO:0005829 [Name: cytosol]	ILMN_1253408 [Chip: ]; ILMN_2717765 [Chip: ]; ILMN_2589640 [Chip: ]; ILMN_2917471 [Chip: ]	P48302	
NM_007905	GO:0005634 [Name: nucleus]; GO:0031519 [Name: PcG protein complex]; GO:0001739 [Name: sex chromatin]; GO:0016604 [Name: nuclear body]; GO:0005654 [Name: nucleoplasm]; GO:0035102 [Name: PRC1 complex]	ILMN_2773464 [Chip: ]; ILMN_3142248 [Chip: ]; ILMN_1241967 [Chip: ]; ILMN_3064382 [Chip: ]	Q64028	
NM_007906	GO:0043025 [Name: neuronal cell body]; GO:0005853 [Name: eukaryotic translation elongation factor 1 complex]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0043209 [Name: myelin sheath]	ILMN_2971559 [Chip: ]; ILMN_2645171 [Chip: ]; ILMN_2666990 [Chip: ]	P62631	
NM_007907	GO:0030529 [Name: ribonucleoprotein complex]; GO:0005634 [Name: nucleus]; GO:0005844 [Name: polysome]; GO:0045121 [Name: membrane raft]; GO:0042788 [Name: polysomal ribosome]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0016235 [Name: aggresome]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_1244003 [Chip: ]; ILMN_1252294 [Chip: ]; ILMN_2589181 [Chip: ]	P58252	
NM_007908	GO:0014069 [Name: postsynaptic density]	ILMN_1252907 [Chip: ]; ILMN_1256098 [Chip: ]; ILMN_2431150 [Chip: ]	O08796	
NM_007909	GO:0016020 [Name: membrane]; GO:0043204 [Name: perikaryon]; GO:0031225 [Name: anchored component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0031594 [Name: neuromuscular junction]	ILMN_2647949 [Chip: ]	P52801	
NM_007910	GO:0005886 [Name: plasma membrane]; GO:0031225 [Name: anchored component of membrane]; GO:0016020 [Name: membrane]	ILMN_2691352 [Chip: ]; ILMN_1217493 [Chip: ]	O08542	
NM_007911	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2681212 [Chip: ]	O35393	
NM_007912	GO:0005886 [Name: plasma membrane]; GO:0005634 [Name: nucleus]; GO:0016323 [Name: basolateral plasma membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0030139 [Name: endocytic vesicle]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005737 [Name: cytoplasm]; GO:0016324 [Name: apical plasma membrane]; GO:0031901 [Name: early endosome membrane]; GO:0005622 [Name: intracellular]; GO:0045202 [Name: synapse]; GO:0016021 [Name: integral component of membrane]; GO:0005925 [Name: focal adhesion]; GO:0009986 [Name: cell surface]; GO:0043235 [Name: receptor complex]; GO:0010008 [Name: endosome membrane]; GO:0097489 [Name: multivesicular body, internal vesicle lumen]; GO:0005768 [Name: endosome]; GO:0045121 [Name: membrane raft]; GO:0048471 [Name: perinuclear region of cytoplasm]	ILMN_3052260 [Chip: ]; ILMN_2693922 [Chip: ]; ILMN_1260565 [Chip: ]; ILMN_1242210 [Chip: ]; ILMN_1241496 [Chip: ]; ILMN_2614432 [Chip: ]	Q9EP98; Q01279	
NM_007913	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2662926 [Chip: ]	P08046	
NM_007914	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0005794 [Name: Golgi apparatus]	ILMN_2501864 [Chip: ]; ILMN_2597515 [Chip: ]	O70273	
NM_007915	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2775512 [Chip: ]; ILMN_2953677 [Chip: ]	Q61070	
NM_007916	GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0005643 [Name: nuclear pore]; GO:0005634 [Name: nucleus]	ILMN_1233412 [Chip: ]	Q61655	
NM_007917	GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0000932 [Name: cytoplasmic mRNA processing body]; GO:0005845 [Name: mRNA cap binding complex]; GO:0016442 [Name: RISC complex]; GO:0043234 [Name: protein complex]; GO:0016281 [Name: eukaryotic translation initiation factor 4F complex]; GO:0010494 [Name: cytoplasmic stress granule]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0033391 [Name: chromatoid body]	ILMN_2777405 [Chip: ]; ILMN_1241672 [Chip: ]; ILMN_2669551 [Chip: ]; ILMN_1260038 [Chip: ]	P63073	
NM_007918	GO:0005634 [Name: nucleus]; GO:0043234 [Name: protein complex]; GO:0005654 [Name: nucleoplasm]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]	ILMN_2670398 [Chip: ]	Q60876	
NM_007919	GO:0036457 [Name: keratohyalin granule]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2674620 [Chip: ]	P05208	
NM_007920	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]	ILMN_2659380 [Chip: ]	Q60775	
NM_007921	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_2850233 [Chip: ]; ILMN_2621659 [Chip: ]; ILMN_2692072 [Chip: ]	Q3UPW2	
NM_007922	GO:0005737 [Name: cytoplasm]; GO:0043679 [Name: axon terminus]; GO:0030425 [Name: dendrite]; GO:0005654 [Name: nucleoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]; GO:0043025 [Name: neuronal cell body]	ILMN_1225225 [Chip: ]; ILMN_2579964 [Chip: ]; ILMN_2761985 [Chip: ]	P41969	
NM_007923	GO:0005654 [Name: nucleoplasm]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_1231726 [Chip: ]; ILMN_1234710 [Chip: ]; ILMN_1249219 [Chip: ]; ILMN_2940961 [Chip: ]	P41158	
NM_007924	GO:0035363 [Name: histone locus body]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0015629 [Name: actin cytoskeleton]; GO:0035327 [Name: transcriptionally active chromatin]; GO:0005886 [Name: plasma membrane]; GO:0016607 [Name: nuclear speck]; GO:0008023 [Name: transcription elongation factor complex]; GO:0015030 [Name: Cajal body]	ILMN_2751304 [Chip: ]	O08856	
NM_007925	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005739 [Name: mitochondrion]; GO:0071953 [Name: elastic fiber]; GO:0005576 [Name: extracellular region]	ILMN_2697304 [Chip: ]; ILMN_2498731 [Chip: ]	P54320	
NM_007926	GO:0005783 [Name: endoplasmic reticulum]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0017101 [Name: aminoacyl-tRNA synthetase multienzyme complex]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0009986 [Name: cell surface]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]; GO:0005794 [Name: Golgi apparatus]	ILMN_2613399 [Chip: ]; ILMN_1227620 [Chip: ]; ILMN_2479992 [Chip: ]	-	
NM_007927	GO:0005637 [Name: nuclear inner membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005652 [Name: nuclear lamina]; GO:0005819 [Name: spindle]; GO:0005634 [Name: nucleus]; GO:0005640 [Name: nuclear outer membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005635 [Name: nuclear envelope]; GO:0005874 [Name: microtubule]; GO:0031965 [Name: nuclear membrane]	ILMN_1213600 [Chip: ]; ILMN_2630593 [Chip: ]; ILMN_2745259 [Chip: ]; ILMN_2731940 [Chip: ]; ILMN_2540475 [Chip: ]	O08579	
NM_007928	GO:0005856 [Name: cytoskeleton]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0045180 [Name: basal cortex]; GO:0005634 [Name: nucleus]; GO:0016328 [Name: lateral plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0005884 [Name: actin filament]; GO:0097427 [Name: microtubule bundle]	ILMN_2522266 [Chip: ]; ILMN_3127066 [Chip: ]; ILMN_2689887 [Chip: ]	Q05512	
NM_007929	GO:0005634 [Name: nucleus]; GO:0005901 [Name: caveola]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0016324 [Name: apical plasma membrane]; GO:0045121 [Name: membrane raft]; GO:0045177 [Name: apical part of cell]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0031410 [Name: cytoplasmic vesicle]	ILMN_2598103 [Chip: ]	O88662	
NM_007930	GO:0005856 [Name: cytoskeleton]; GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0005730 [Name: nucleolus]; GO:0016363 [Name: nuclear matrix]; GO:0005737 [Name: cytoplasm]; GO:0043025 [Name: neuronal cell body]; GO:0031463 [Name: Cul3-RING ubiquitin ligase complex]; GO:0000790 [Name: nuclear chromatin]	ILMN_1237886 [Chip: ]	O35709	
NM_007931	GO:0005739 [Name: mitochondrion]; GO:0005829 [Name: cytosol]; GO:0043204 [Name: perikaryon]; GO:0005634 [Name: nucleus]	ILMN_1244281 [Chip: ]	O08600	
NM_007932	GO:0009986 [Name: cell surface]; GO:0005925 [Name: focal adhesion]; GO:0072563 [Name: endothelial microparticle]; GO:0016021 [Name: integral component of membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0043235 [Name: receptor complex]; GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0016020 [Name: membrane]; GO:0005615 [Name: extracellular space]	ILMN_2494370 [Chip: ]	Q63961	
NM_007933	GO:0000015 [Name: phosphopyruvate hydratase complex]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]	ILMN_2757569 [Chip: ]	P21550	
NM_007934	GO:0016020 [Name: membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0005886 [Name: plasma membrane]; GO:0016324 [Name: apical plasma membrane]; GO:0005765 [Name: lysosomal membrane]; GO:0012506 [Name: vesicle membrane]; GO:0031983 [Name: vesicle lumen]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0070062 [Name: extracellular exosome]; GO:0045177 [Name: apical part of cell]; GO:0016021 [Name: integral component of membrane]; GO:0005903 [Name: brush border]	ILMN_2654664 [Chip: ]	P16406	
NM_007935	GO:0031965 [Name: nuclear membrane]; GO:0032777 [Name: Piccolo NuA4 histone acetyltransferase complex]; GO:0005634 [Name: nucleus]; GO:0035267 [Name: NuA4 histone acetyltransferase complex]; GO:0005654 [Name: nucleoplasm]	ILMN_2768330 [Chip: ]; ILMN_2623030 [Chip: ]; ILMN_2623032 [Chip: ]; ILMN_2759678 [Chip: ]	Q8C9X6; Q7TNR8; Q3UG01; Q6PBH3	
NM_007936	GO:0005768 [Name: endosome]; GO:0043679 [Name: axon terminus]; GO:0009986 [Name: cell surface]; GO:0014069 [Name: postsynaptic density]; GO:0030424 [Name: axon]; GO:0031594 [Name: neuromuscular junction]; GO:0031901 [Name: early endosome membrane]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005794 [Name: Golgi apparatus]; GO:0043204 [Name: perikaryon]; GO:0030054 [Name: cell junction]; GO:0043197 [Name: dendritic spine]; GO:0045202 [Name: synapse]; GO:0045211 [Name: postsynaptic membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0042995 [Name: cell projection]; GO:0030175 [Name: filopodium]; GO:0044295 [Name: axonal growth cone]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0030425 [Name: dendrite]; GO:0044297 [Name: cell body]; GO:0005886 [Name: plasma membrane]; GO:0005741 [Name: mitochondrial outer membrane]	ILMN_2724014 [Chip: ]	Q03137	
NM_007937	GO:0016020 [Name: membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0043025 [Name: neuronal cell body]; GO:0005622 [Name: intracellular]; GO:0016021 [Name: integral component of membrane]; GO:0030425 [Name: dendrite]; GO:0005886 [Name: plasma membrane]; GO:0005791 [Name: rough endoplasmic reticulum]; GO:0009897 [Name: external side of plasma membrane]; GO:0042995 [Name: cell projection]	ILMN_1231684 [Chip: ]; ILMN_1237026 [Chip: ]; ILMN_2599385 [Chip: ]; ILMN_1235217 [Chip: ]; ILMN_2433635 [Chip: ]; ILMN_2567897 [Chip: ]	E9PUQ0; Q60629	
NM_007938	GO:0016020 [Name: membrane]; GO:0005654 [Name: nucleoplasm]; GO:0016021 [Name: integral component of membrane]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_1237726 [Chip: ]; ILMN_1228262 [Chip: ]	G1K381	
NM_007939	GO:0016021 [Name: integral component of membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005768 [Name: endosome]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0043005 [Name: neuron projection]; GO:0042995 [Name: cell projection]	ILMN_2732966 [Chip: ]; ILMN_2895412 [Chip: ]	O09127	
NM_007940	GO:0005777 [Name: peroxisome]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]	ILMN_1226688 [Chip: ]	P34914	
NM_007941	GO:0030496 [Name: midbody]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0008021 [Name: synaptic vesicle]; GO:0016020 [Name: membrane]; GO:0045121 [Name: membrane raft]; GO:0016021 [Name: integral component of membrane]; GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]; GO:0016323 [Name: basolateral plasma membrane]; GO:0030133 [Name: transport vesicle]; GO:0005911 [Name: cell-cell junction]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0030027 [Name: lamellipodium]	ILMN_2657575 [Chip: ]; ILMN_1235740 [Chip: ]; ILMN_1229499 [Chip: ]; ILMN_2764016 [Chip: ]	-	
NM_007942	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0009986 [Name: cell surface]	ILMN_2742822 [Chip: ]	P07321; Q0VED9	
NM_007943	GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005768 [Name: endosome]; GO:0005769 [Name: early endosome]; GO:0030136 [Name: clathrin-coated vesicle]; GO:0030122 [Name: AP-2 adaptor complex]; GO:0005905 [Name: coated pit]; GO:0009925 [Name: basal plasma membrane]; GO:0016324 [Name: apical plasma membrane]; GO:0005886 [Name: plasma membrane]; GO:0016235 [Name: aggresome]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0030132 [Name: clathrin coat of coated pit]; GO:0005829 [Name: cytosol]; GO:0060170 [Name: ciliary membrane]	ILMN_1228338 [Chip: ]; ILMN_1258559 [Chip: ]	P42567	
NM_007944	GO:0005886 [Name: plasma membrane]; GO:0005634 [Name: nucleus]; GO:0016020 [Name: membrane]; GO:0005905 [Name: coated pit]; GO:0030132 [Name: clathrin coat of coated pit]	ILMN_1225674 [Chip: ]; ILMN_2769962 [Chip: ]	Q60902	
NM_007945	GO:0045202 [Name: synapse]; GO:0005886 [Name: plasma membrane]; GO:0005903 [Name: brush border]; GO:0017146 [Name: NMDA selective glutamate receptor complex]; GO:0030054 [Name: cell junction]; GO:0032420 [Name: stereocilium]; GO:0070062 [Name: extracellular exosome]; GO:0032587 [Name: ruffle membrane]; GO:0016020 [Name: membrane]; GO:0005938 [Name: cell cortex]; GO:0014069 [Name: postsynaptic density]; GO:0031982 [Name: vesicle]; GO:0042995 [Name: cell projection]; GO:0043005 [Name: neuron projection]; GO:0005737 [Name: cytoplasm]	ILMN_2623776 [Chip: ]	Q08509	
NM_007946	GO:0070062 [Name: extracellular exosome]	ILMN_1238851 [Chip: ]	P49290	
NM_007947	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2588852 [Chip: ]	A2AJB7	
NM_007948	GO:0000110 [Name: nucleotide-excision repair factor 1 complex]; GO:0005669 [Name: transcription factor TFIID complex]; GO:0000109 [Name: nucleotide-excision repair complex]; GO:0005654 [Name: nucleoplasm]; GO:0070522 [Name: ERCC4-ERCC1 complex]; GO:0005737 [Name: cytoplasm]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005634 [Name: nucleus]	ILMN_2772480 [Chip: ]; ILMN_1257697 [Chip: ]; ILMN_1237153 [Chip: ]	P07903	
NM_007949	GO:0005856 [Name: cytoskeleton]; GO:0071817 [Name: MMXD complex]; GO:0005675 [Name: holo TFIIH complex]; GO:0005737 [Name: cytoplasm]; GO:0005819 [Name: spindle]; GO:0000439 [Name: core TFIIH complex]; GO:0005634 [Name: nucleus]; GO:0019907 [Name: cyclin-dependent protein kinase activating kinase holoenzyme complex]	ILMN_2630344 [Chip: ]; ILMN_1216460 [Chip: ]	O08811	
NM_007950	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005576 [Name: extracellular region]	ILMN_2716746 [Chip: ]; ILMN_1219065 [Chip: ]; ILMN_2735702 [Chip: ]	Q61521	
NM_007951	GO:0030496 [Name: midbody]; GO:0016020 [Name: membrane]	ILMN_1217879 [Chip: ]; ILMN_2919786 [Chip: ]	P84089; Q4FZH7	
NM_007952	GO:0005790 [Name: smooth endoplasmic reticulum]; GO:0070062 [Name: extracellular exosome]; GO:0005925 [Name: focal adhesion]; GO:0001669 [Name: acrosomal vesicle]; GO:0043209 [Name: myelin sheath]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]; GO:0009986 [Name: cell surface]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005615 [Name: extracellular space]; GO:0005758 [Name: mitochondrial intermembrane space]; GO:0016324 [Name: apical plasma membrane]; GO:0042825 [Name: TAP complex]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]	ILMN_2736875 [Chip: ]	P27773	
NM_007953	GO:0005634 [Name: nucleus]	ILMN_2766521 [Chip: ]; ILMN_2972292 [Chip: ]	O08580	
NM_007954	GO:0005783 [Name: endoplasmic reticulum]; GO:0005615 [Name: extracellular space]	ILMN_2704750 [Chip: ]; ILMN_2980371 [Chip: ]; ILMN_2704749 [Chip: ]; ILMN_1235564 [Chip: ]	P23953	
NM_007955	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	-	-	
NM_007956	GO:0000790 [Name: nuclear chromatin]; GO:0043204 [Name: perikaryon]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0005794 [Name: Golgi apparatus]; GO:0030315 [Name: T-tubule]; GO:0035327 [Name: transcriptionally active chromatin]; GO:0043234 [Name: protein complex]; GO:0005829 [Name: cytosol]; GO:0005886 [Name: plasma membrane]; GO:0043005 [Name: neuron projection]; GO:0005739 [Name: mitochondrion]; GO:0043195 [Name: terminal bouton]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005737 [Name: cytoplasm]	ILMN_2726412 [Chip: ]; ILMN_1221362 [Chip: ]; ILMN_2604666 [Chip: ]; ILMN_2571180 [Chip: ]	P19785; E7FJU2	
NM_007957	GO:0005634 [Name: nucleus]	ILMN_2625674 [Chip: ]	-	
NM_007959	GO:0005634 [Name: nucleus]	ILMN_2678641 [Chip: ]; ILMN_2678642 [Chip: ]	P41163	
NM_007960	GO:0005634 [Name: nucleus]	ILMN_2643915 [Chip: ]; ILMN_2631953 [Chip: ]	P41164	
NM_007961	GO:0005634 [Name: nucleus]; GO:0005730 [Name: nucleolus]; GO:0005737 [Name: cytoplasm]	ILMN_2669199 [Chip: ]	P97360	
NM_007962	GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]	ILMN_1258375 [Chip: ]; ILMN_2906165 [Chip: ]	-	
NM_007963	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005794 [Name: Golgi apparatus]; GO:0016607 [Name: nuclear speck]; GO:0000118 [Name: histone deacetylase complex]; GO:0016235 [Name: aggresome]; GO:0005654 [Name: nucleoplasm]	ILMN_2668165 [Chip: ]; ILMN_2652962 [Chip: ]; ILMN_1217576 [Chip: ]; ILMN_2916149 [Chip: ]; ILMN_1228051 [Chip: ]	Q9Z1L8	
NM_007964	GO:0005737 [Name: cytoplasm]; GO:0005829 [Name: cytosol]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005856 [Name: cytoskeleton]; GO:0005634 [Name: nucleus]; GO:0005794 [Name: Golgi apparatus]	ILMN_2613546 [Chip: ]	-	
NM_007965	GO:0005737 [Name: cytoplasm]; GO:0030027 [Name: lamellipodium]; GO:0016020 [Name: membrane]; GO:0005856 [Name: cytoskeleton]; GO:0005925 [Name: focal adhesion]; GO:0042995 [Name: cell projection]	ILMN_2731455 [Chip: ]; ILMN_2731454 [Chip: ]	P70429	
NM_007966	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0016235 [Name: aggresome]; GO:0031965 [Name: nuclear membrane]	ILMN_2731113 [Chip: ]	P23683	
NM_007967	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]	ILMN_1217013 [Chip: ]; ILMN_2677954 [Chip: ]	P49749	
NM_007968	GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]	ILMN_2769308 [Chip: ]; ILMN_1219609 [Chip: ]; ILMN_2460527 [Chip: ]; ILMN_2769309 [Chip: ]	Q61545	
NM_007969	GO:0005576 [Name: extracellular region]	ILMN_1239717 [Chip: ]	P62810	
NM_007970	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0035098 [Name: ESC/E(Z) complex]	ILMN_2555484 [Chip: ]; ILMN_2773467 [Chip: ]; ILMN_3107974 [Chip: ]	P70351	
NM_007971	GO:0005634 [Name: nucleus]; GO:0035098 [Name: ESC/E(Z) complex]; GO:0000790 [Name: nuclear chromatin]; GO:0005694 [Name: chromosome]; GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0045120 [Name: pronucleus]	ILMN_2988572 [Chip: ]; ILMN_2606429 [Chip: ]; ILMN_1234171 [Chip: ]	Q61188	
NM_007972	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005576 [Name: extracellular region]	ILMN_1215347 [Chip: ]; ILMN_2688912 [Chip: ]	O88947	
NM_007974	GO:0005769 [Name: early endosome]; GO:0031143 [Name: pseudopodium]; GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005829 [Name: cytosol]; GO:0005886 [Name: plasma membrane]	ILMN_2769564 [Chip: ]; ILMN_2769567 [Chip: ]	P55086	
NM_007975	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2737523 [Chip: ]	O88634	
NM_007976	GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0031091 [Name: platelet alpha granule]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:1903561 [Name: extracellular vesicle]	ILMN_1248713 [Chip: ]; ILMN_1222970 [Chip: ]	O88783	
NM_007977	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2679421 [Chip: ]; ILMN_2950044 [Chip: ]; ILMN_1221937 [Chip: ]; ILMN_1246702 [Chip: ]	Q06194	
NM_007978	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2511081 [Chip: ]; ILMN_2622041 [Chip: ]	-	
NM_007980	GO:0005622 [Name: intracellular]; GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0005902 [Name: microvillus]; GO:0045179 [Name: apical cortex]	ILMN_2706493 [Chip: ]	P55050	
NM_007981	GO:0016021 [Name: integral component of membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005739 [Name: mitochondrion]; GO:0005886 [Name: plasma membrane]; GO:0005778 [Name: peroxisomal membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005741 [Name: mitochondrial outer membrane]; GO:0016020 [Name: membrane]; GO:0005777 [Name: peroxisome]	ILMN_2622671 [Chip: ]	P41216	
NM_007982	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0016604 [Name: nuclear body]; GO:0005829 [Name: cytosol]; GO:0014704 [Name: intercalated disc]; GO:0030054 [Name: cell junction]; GO:0001725 [Name: stress fiber]; GO:0005730 [Name: nucleolus]; GO:0005925 [Name: focal adhesion]; GO:0016020 [Name: membrane]; GO:0016323 [Name: basolateral plasma membrane]; GO:0042383 [Name: sarcolemma]; GO:0005886 [Name: plasma membrane]; GO:0005856 [Name: cytoskeleton]; GO:0016324 [Name: apical plasma membrane]; GO:0031234 [Name: extrinsic component of cytoplasmic side of plasma membrane]; GO:0030027 [Name: lamellipodium]	ILMN_2615901 [Chip: ]	P34152	
